
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

las-vegas-panama.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-paraguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-portugal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-qatar.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-saudi-arabia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-scotland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-senegal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-south-africa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-spain.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
las-vegas-sweden.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-switzerland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-t-rkiye.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
las-vegas-tunisia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-uruguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-usa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-uzbekistan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-algeria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-argentina.json: 10 venues, 4 kept country tag, 6 stripped to no-flag
los-angeles-australia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-austria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-belgium.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-bosnia-and-herzegovina.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-brazil.json: 10 venues, 9 kept country tag, 1 stripped to no-flag
los-angeles-c-te-d-ivoire.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-cabo-verde.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-canada.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-colombia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-congo-dr.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-croatia.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
los-angeles-cura-ao.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-czechia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-ecuador.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-egypt.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-england.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
los-angeles-france.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
